Genre,Name,Year,Rating,Rating amount
action,Aadikeshava,2023,4.4,529
action,Correr para Vivir,2024,8.5,77
action,The Great Escape,2023,8.7,85
action,Kabzaa,2023,5.0,15K
action,Tejas,2023,4.4,23K
action,Lion-Girl,2023,4.2,176
action,Operation Black Ops,2023,2.3,77
action,Below,2023,4.7,23
action,Mundije,2024,8.4,13
action,Yaathisai,2023,7.3,4K
action,Mały skok Wielkiego Nunu,2023,4.1,272
action,El Puño del Cóndor,2023,5.4,449
action,Ma'am Chief: Shakedown in Seoul,2023,8.6,32
action,Revenge of the Empire of the Apes,2023,2.8,12
action,Itutumba ka ng tatay ko,2024,5.7,10
action,Permafrost,2024,6.2,82
action,Kaatera,2023,7.4,3.1K
action,Chowk,2023,8.3,69
action,Trap House,2023,4.4,202
action,Takkar,2023,5.5,2.2K
action,The Worlds Divide,2023,8.1,11
action,Pichaikkaran 2,2023,5.7,1.9K
action,Amigos,2023,6.0,3.1K
action,Prepare to Die,2024,5.5,84
action,Pathu Thala,2023,6.8,9.7K
action,Get the Girl,2023,5.6,112
action,Mu zhong wu ren 2,2024,6.7,169
action,Dhoomam,2023,5.5,868
action,Bholaa Shankar,2023,3.3,2.1K
action,Lakadbaggha,2023,6.0,1.5K
action,Iron Mask,2023,6.0,26
action,Manush: Child of Destiny,2023,7.7,281
action,Mirza: Part 1 - Joker,2024,6.9,194
action,Devil,2023,6.5,3.3K
action,Malyagiri,2023,7.8,589
action,Kojot négy lelke,2023,7.3,517
action,Appu,2024,8.9,165
action,Irattachankan,2023,9.6,14
action,The Bell Keeper,2023,3.7,427
action,Pariah Volume 1: Every Street Dog Has a Name,2024,8.5,141
action,Spark: L.I.F.E.,2023,5.0,4.2K
action,Free State,2023,7.6,55
action,Mumbaikar,2023,4.8,732
action,End Times,2023,4.8,42
action,So duk 3: Yun joi tin ngai,2023,5.8,504
action,Usire Usire,2024,8.4,1.1K
action,Dovbush,2023,7.6,1.9K
action,Shri Swapankumarer Badami Hyenar Kobole,2024,5.7,253
action,FPS: First Person Shooter,2023,7.5,270
action,Paramporul,2023,7.0,1.8K
action,The Getback,2023,5.6,187
action,49,2023,5.5,793
action,Black n White,2023,6.9,10
action,Ratham,2023,6.3,669
action,The Adventures,2023,5.1,45
action,Kasargold,2023,5.6,981
action,Extra Ordinary Man,2023,5.0,2.1K
action,Bloodline,2024,N/A,N/A
action,Sheran Di Kaum Punjabi,2024,N/A,N/A
action,Transmorphers: Mech Beasts,2023,2.5,248
action,Bonus Trip,2024,6.4,168
action,The Bodyguard,2023,2.8,41
action,Cop vs,2023,5.8,82
action,Teen Titans: Alpha,2024,N/A,N/A
action,Dirty Fellow,2024,10,3.2K
action,Hidimbha,2023,6.4,3.3K
action,Butch Cassidy and the Wild Bunch,2023,4.4,134
action,Section 108,2024,N/A,N/A
action,Wrath of Dracula,2023,3.6,150
action,Dick Dynamite: 1944,2023,7.1,54
action,Malbatt: Misi Bakara,2023,6.6,522
action,Rebel,2024,5.6,5
action,Viking: Battle of Heirs,2023,2.3,164
action,Bad Manners,2023,7.9,559
action,Nefes: Yer Eksi Iki,2023,6.3,471
action,Mr,2023,5.2,466
action,Munthirikkaadu,2023,6.5,36
action,The Hard Hit,2023,5.7,48
action,Ju Ji Shou: Ni Zhan,2023,6.0,57
action,Ultraman Blazar the Movie: Tokyo Kaiju Showdown,2024,7.8,39
action,Troppo azzurro,2023,6.1,24
action,Dzikość,2023,5.6,191
action,Neo-Dome,2024,N/A,N/A
action,Gridman Universe,2023,6.9,196
action,Ramon,2023,6.8,1.2K
action,Sri Raghupati,2023,8.5,526
action,El día que todo cambió,2024,7.9,69
action,Murda Boyz - Mahlenska Klasa,2023,1.5,242
action,Ciu sanging haaigip'on,2023,4.8,126
action,The Epidemic,2024,6.2,54
action,Naa Saami Ranga,2024,4.4,837
action,Iron Fighter,2024,N/A,N/A
action,Echo 8,2024,6.4,34
action,Mega Ape,2023,3.1,199
action,Spirit Riser,2024,8.5,11
action,Yasuke: Descendents,2023,N/A,N/A
action,Return of the Dark,2023,6.6,27
action,Crack,2023,7.2,22
action,Saindhav,2024,5.0,1.3K
action,"Urodzony, by latać",2023,5.9,2.6K
action,Temsah-e Khooni,2024,5.2,223
action,Tag,2023,3.1,880
action,Coast Guard Malaysia: Ops Helang,2023,5.0,177
action,Hades - Eine (fast) wahre Geschichte aus der Unterwelt,2023,7.1,35
action,Cim hang,2023,5.1,303
action,Saint Michael of the City,2024,8.5,23
action,Ala Ninnu Cheri,2023,6.8,3.5K
action,Invisible Hacker,2023,9.0,86
action,E-mail,2024,6.1,809
action,Top Gunner: Battle of the Atlantic,2023,5.9,44
action,Meteor zagłady,2023,3.0,234
action,Pakalum Paathiravum,2023,3.7,255
action,Baieti Destepti,2023,3.4,341
action,Alya,2023,9.1,147
action,Grande Sertão,2023,7.2,15
action,Holy Punch,2024,5.6,9
action,Attack on Titan: The Weight of Pain,2023,6.5,281
action,Voltes V: Legacy - The Cinematic Experience,2023,8.1,413
action,Protege Moi,2023,4.9,24
action,Lost Phoenix,2023,4.0,149
action,Incarcerated,2023,5.6,171
action,Love You to Debt,2024,6.3,343
action,Mia and the Dragon Princess,2023,3.9,153
action,Viking: Blood Lust,2023,3.8,273
action,Chatrapathi,2023,3.8,2.8K
action,Island Escape,2023,3.2,432
action,Decade of the Dead,2023,8.0,6
action,The Five,2023,3.9,84
action,Bonnie,2024,7.9,7
action,Primary Position,2023,8.1,22
action,The Abyss Rescue,2023,7.0,76
action,Good Job,2023,4.7,40
action,The King of Bloody Fookin' Britain,2023,8.4,72
action,Among the Beasts,2023,5.1,286
action,Hotel Underground,2024,7.4,13
action,The Unbreakable Bunch,2023,8.3,7
action,Ko ziv ko mrtav,2023,6.2,29
action,Kranti,2023,5.4,11K
